redcap_data_access_group_e,redcap_data_access_group_unlabelled,dag_id_e,place_name,postcode,country,lon,lat,ccg,postcode_start,city,imd_average_postcodes_new,tds_mean,w_me_imd,w_me_tds,w_har_tds,w_har_imd,w_med_imd,w_med_tds,prop_within_10_imd_ccg,prop_within_20_imd_ccg,prop_within_10_tds_ccg,prop_within_20_tds_ccg,nhs_region,all_people,ccg_name,updated_all_age_mid_2018,multiplication_factor,scotland_average_imd_rank,average_imd_rank,wales_average_imd_rank,wimd15,avg_wimd_2019,weighted_arith,w_imd,w_imd_centred,w_imd_centred_std_country,w_imd_centred_std_uk
Cardiff and Vale University Health Board,cardiff_and_vale_u,7A4VB,Cardiff and Vale University Health Board,CF14 4XW,Wales,-3.1902577,51.50679580000001,W11000029,CF14,Cardiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wales,496413,Cardiff and Vale University Health Board,496413,1.0507740894870308,NA,4,4,NA,932,NA,932,-35.611111111111086,-0.21568557803219982,0.48236893731849795
Cardiff and Vale University Health Board,cardiff_and_vale_u,7AH41,Cardiff and Vale University Health Board,CF14 4XW,Wales,-3.1902577,51.50679580000001,W11000029,CF14,Cardiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wales,496413,Cardiff and Vale University Health Board,496413,1.0507740894870308,NA,4,4,NA,932,NA,932,-35.611111111111086,-0.21568557803219982,0.48236893731849795
Betsi Cadwaladr University Health Board,betsi_cadwaladr_un,7AIAU,Betsi Cadwaladr University Health Board,LL18 5UJ,Wales,-3.4970182,53.2713109,W11000023,LL18,Conwy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wales,698369,Betsi Cadwaladr University Health Board,698369,1.0151641792780444,NA,2,2,NA,944,NA,944,-23.611111111111086,-0.14300525844568626,0.4946246404371412
Aneurin Bevan University Health Board,aneurin_bevan_univ,11049,Aneurin Bevan University Health Board,NP11 5GH,Wales,-3.1404429,51.66249759999999,W11000028,NP11,Caerphilly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wales,591225,Aneurin Bevan University Health Board,591225,1.0250904198323723,NA,5,5,NA,837,NA,837,-130.6111111111111,-0.7910714414254322,0.3853446209625724
Aneurin Bevan University Health Board,aneurin_bevan_univ,11409,Aneurin Bevan University Health Board,NP11 5GH,Wales,-3.1404429,51.66249759999999,W11000028,NP11,Caerphilly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wales,591225,Aneurin Bevan University Health Board,591225,1.0250904198323723,NA,5,5,NA,837,NA,837,-130.6111111111111,-0.7910714414254322,0.3853446209625724
University College London Hospitals NHSFT,university_college,14142,University College London Hospitals NHSFT,NW1 2BU,England,-0.1363551,51.5250834,E38000027,NW1,Camden,16465.98531375167,4.355710042695594,16088.619180531732,4.508217805498748,7.617352613705777,11723.505356659885,14838.499999999987,4.9320342024823525,0,0.16029463823761675,0.5123900552787082,0.6669888988735488,London,262226,NHS Camden CCG,262226,1.1901079250968967,NA,94,NA,20.20301,NA,NA,20.20301,-1.555476554581027,0.3436110844698525,0.4488571638408778
University College London Hospitals NHSFT,university_college,14152,University College London Hospitals NHSFT,NW1 2BU,England,-0.1363551,51.5250834,E38000027,NW1,Camden,16465.98531375167,4.355710042695594,16088.619180531732,4.508217805498748,7.617352613705777,11723.505356659885,14838.499999999987,4.9320342024823525,0,0.16029463823761675,0.5123900552787082,0.6669888988735488,London,262226,NHS Camden CCG,262226,1.1901079250968967,NA,94,NA,20.20301,NA,NA,20.20301,-1.555476554581027,0.3436110844698525,0.4488571638408778
Cardiff and Vale University Health Board,cardiff_and_vale_u,A74BV,Cardiff and Vale University Health Board,CF14 4XW,Wales,-3.1902577,51.50679580000001,W11000029,CF14,Cardiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wales,496413,Cardiff and Vale University Health Board,496413,1.0507740894870308,NA,4,4,NA,932,NA,932,-35.611111111111086,-0.21568557803219982,0.48236893731849795
Epsom & St Helier NHSFT,epsom__st_helier_n,aRVR05,St Helier Hospital,SM5 1AA,England,-0.184798,51.38041,E38000179,SM5,Sutton,21253.128246753247,-0.11400410648701298,21535.632955728757,-0.26867323116525194,17.044249653049857,16427.23948450828,22933,-0.7380143681478873,0.007467945683842942,0.05497880575978459,0.04429753978521767,0.12084924216128659,London,204525,NHS Sutton CCG,204525,1.0756208387239279,NA,161,NA,16.39157391,NA,NA,16.39157391,-5.366912644581024,1.1855727870846455,0.4527498162721047
Alder Hey Children's Hospital,alder_hey_children,CBS25,Alder Hey Children's Hospital,L12 2AP,England,-2.8968504,53.419159,E38000101,L12,Liverpool,6823.02398989899,2.2652371023484847,6975.550865645402,2.181793994121917,12.779332124269942,499.8389986082434,3462,2.5084938481910566,0.48335066410814403,0.6279407823504819,0.23910251599969984,0.44360065606809385,North West,494813.99999999994,NHS Liverpool CCG,494814,1.0608878359400962,NA,6,NA,36.82340586,NA,NA,36.82340586,15.064919305418975,-3.3279018219468646,0.43188261072633727
